INN_Name,BrandName,Phase,Applicants,Links,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase families,Canonical_Smiles_InChiKey,First_Approval,SC_Patent,Chirality,Synonyms,FDA approved,Melting points (°C)
Allitinib,nan,1,Allist Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC",NaN,NaN,nan,1,448.1,5.9,76.1,5,2,7,nan,"ERBB2
EGFR",Tyr,"Smiles=C=CC(=O)Nc1ccc2c(c1)c(ncn2)Nc3ccc(c(c3)Cl)OCc4cccc(c4)F
InChiKey=MVZGYPSXNDCANY-UHFFFAOYSA-N",nan,nan,nan,"AST-1306
ALL-3",,
Alpelisib,Piqray,4,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'1LT',4jps,nan,0,441.1,3.8,101.2,5,2,4,"On may 2019, FDA approved alpelisib to treat breast cancer",PIK3CA,Atypical,"Smiles=Cc1c(sc(n1)NC(=O)N2CCC[C@H]2C(=O)N)c3ccnc(c3)C(C)(C)C(F)(F)F
InChiKey=STUWGJZDJHPWGZ-LBPRGKRZSA-N",2019,nan,Single Stereoisomer,"NVP-BYL719
Alpelisib
BYL-719",Y,
Altiratinib,nan,1,Deciphera Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,510.2,5,109.4,5,3,8,nan,"MET
TEK
KDR
NTRK1",Tyr,"Smiles=c1cc(ccc1NC(=O)C2(CC2)C(=O)Nc3cc(c(cc3F)Oc4ccnc(c4)NC(=O)C5CC5)F)F
InChiKey=GNNDEPIMDAZHRQ-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"DCC-2701
Altiratinib
DP-5164",,
Alvocidib,nan,3,Sanofi,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'CPB',1c8k 1e1y 3blr 3ebp 4o71,nan,0,401.1,3.3,94.1,6,3,2,"Investigated for use/treatment in esophageal cancer, leukemia (lymphoid), lung cancer, liver cancer, and lymphoma (unspecified).",nan,,"Smiles=CN1CC[C@@H]([C@@H](C1)O)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O
InChiKey=BIIVYFLTOXDAOV-YVEFUNNKSA-N",nan,nan,Single Stereoisomer,"L-86-8275
Flavopiridol
MDL-107826A
HL-275
HMR-1275
Alvocidib
NSC-649890
L-868275",,
Amcasertib,nan,2,Boston Biomedical,"ChemSpider
ChEMBL
PubChem
DrugBank
ZINC
FDA SRS",NaN,NaN,nan,2,539.2,6,90.1,5,3,9,nan,PDGFRA,Tyr,"Smiles=CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)c4csc(n4)c5ccccc5)C
InChiKey=QDWKGEFGLQMDAM-ULJHMMPZSA-N",nan,nan,Achiral Molecule,"BBI-503
Amcasertib",,
Amuvatinib,nan,2,Supergen,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,447.1,3.3,75.9,7,1,3,"Amuvatinib is a selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvatinib also suppresses Rad51 protein, a critical comp\nonent of double-stranded DNA repair in cancer cells.","KIT
MET
RET
FLT3
PDGFRB",Tyr,"Smiles=c1ccc2c(c1)c3c(o2)c(ncn3)N4CCN(CC4)C(=S)NCc5ccc6c(c5)OCO6
InChiKey=FOFDIMHVKGYHRU-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"MP-470
HPK56
Amuvatinib
HPK-56",,
Anlotinib,nan,4,Advenchen Laboratories,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,407.2,4.8,82.4,5,2,6,"Anlotinib (AL3818) is a non-selective inhibitor of multiple receptor tyrosine kinases, including vascular endothelial growth factor receptor type 2 (VEGFR-2, FLT1) and type 3 (VEGFR-3, FLT4). It is being investigated for antineoplastic and anti-angiogenic potential. The dihydrochloride has PubChem CID: 57380530. Preparation and crystallisation of AL3818 is described in patent WO2016179123.","KDR
FLT4",Tyr,"Smiles=Cc1cc2c([nH]1)ccc(c2F)Oc3ccnc4c3cc(c(c4)OCC5(CC5)N)OC
InChiKey=KSMZEXLVHXZPEF-UHFFFAOYSA-N",nan,nan,nan,"ALTN

APCII
AL3818
ATC I
FU KE WEI
APC I
ATCII
ANLOTINIB",N,
Apatinib,nan,4,Bukwang Pharmaceutical,"ChemSpider
PubChem
Guide to Pharmacology
ZINC",NaN,NaN,nan,1,397.2,5.1,90.7,5,2,5,"Apatinib mesylate is an orally bioavailable, small-molecule receptor tyrosine kinase inhibitor with potential antiangiogenic and antineoplastic activities. The free-base form is also known as Rivoceranib. Apatinib selectively binds to and inhibits vascular endothelial growth factor receptor 2, which may inhibit VEGF-stimulated endothelial cell migration and proliferation and decrease tumor microvessel density. In addition, this agent mildly inhibits c-Kit and c-SRC tyrosine kinases.",KDR,Tyr,"Smiles=N#CC1(CCCC1)c1ccc(cc1)NC(=O)c1cccnc1Nc1cnccc1C
InChiKey=MGZNERAVOCFMCU-UHFFFAOYSA-N",2014,nan,nan,"NO.
STUDY DRUG
5-FLUOROURACIL
VP-16
ALBUMIN PACLITAXEL
AITAN
DOCETAXEL
EGAFUR
EMOZOLOMIDE（TMZ）
PLATINU
NAVELBINE+AITAN
PEMETREXED
H20140103
S1
ARGET THERAPY
SPA
YN968D1
CARBOPLATIN
ARM A
PACLITAXOL
XELOX
APATINIB GROUP
S-1
ATAN
AI TAN
APATINIB
REATMENT GROUP
CAPECITABINE
YEW
APATINIB MESYLATE
ESYLATE APATINIB
APATINIB TABLETS
OXALIPLATIN
YN968D1,(AITAN®",N,
Apitolisib,nan,2,Hoffmann-La Roche,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'980',3tl5,nan,1,498.2,0.9,133.8,11,2,5,nan,"PIK3CA
MTOR",Atypical,"Smiles=Cc1c(sc2c1nc(nc2N3CCOCC3)c4cnc(nc4)N)CN5CCN(CC5)C(=O)[C@H](C)O
InChiKey=YOVVNQKCSKSHKT-HNNXBMFYSA-N",nan,nan,Single Stereoisomer,"GDC-0980.1
RG-7422
G-038390.1
GDC-0980
Apitolisib
G-038390",,
Asciminib,nan,3,Novartis,"ChemSpider
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS",'AY7',5mo4,nan,0,449.1,3.5,103.4,6,3,6,nan,nan,,"Smiles=c1cc(ccc1NC(=O)c2cc(c(nc2)N3CC[C@H](C3)O)c4ccn[nH]4)OC(F)(F)Cl
InChiKey=VOVZXURTCKPRDQ-CQSZACIVSA-N",nan,nan,nan,ASCIMINIB,,
Avapritinib,nan,3,Blueprint Medicines,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
FDA SRS",NaN,NaN,nan,0,498.2,2.6,106.3,10,1,5,nan,nan,,"Smiles=C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N
InChiKey=DWYRIWUZIJHQKQ-SANMLTNESA-N",nan,nan,nan,BLU-285,,
Axitinib,Inlyta,4,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'AXI',4ag8 4agc 4twp 4wa9,2,0,386.1,4.6,70.7,4,2,5,Used in kidney cell cancer and investigated for use/treatment in pancreatic and thyroid cancer.,"FLT1
KDR
FLT4",Tyr,"Smiles=CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4
InChiKey=RITAVMQDGBJQJZ-FMIVXFBMSA-N",2012,US-6534524-B1,Achiral Molecule,"Inlyta
AG-13736
Axitinib
AG-013736",Y,
Bafetinib,nan,2,Innovive Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'406',2e2b,2,2,576.3,5.4,99.2,8,2,8,nan,"LYN
ABL1",Tyr,"Smiles=Cc1ccc(cc1Nc2nccc(n2)c3cncnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CC[C@@H](C5)N(C)C
InChiKey=ZGBAJMQHJDFTQJ-DEOSSOPVSA-N",nan,nan,Single Stereoisomer,"CNS-9
Bafetinib
NS-187
INNO-406",,
Balamapimod,nan,1,Wyeth,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,2,573.2,6.5,82.2,9,1,7,nan,"RAF1
MAP2K1
MAP2K2","TKL
STE","Smiles=Cn1ccnc1Sc2ccc(cc2Cl)Nc3c4cc(c(cc4ncc3C#N)N5CCC(CC5)N6CCCC6)OC
InChiKey=CVAKNHIXTWLGJO-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"MKI-833
Balamapimod",,
Barasertib,nan,3,Astrazeneca,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,587.2,3.6,174.8,9,5,15,nan,AURKB,Other,"Smiles=CCN(CCCOc1ccc2c(c1)ncnc2Nc3cc(n[nH]3)CC(=O)Nc4cccc(c4)F)CCOP(=O)(O)O
InChiKey=GBJVVSCPOBPEIT-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Barasertib
AZD-1152",,
Baricitinib,Olumiant,4,Eli Lilly,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'3JW',4w9x,1,0,371.1,1.1,120.6,7,1,5,"Indicated for the treatment of moderate to severe active rheumatoid arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more disease-modifying anti-rheumatic drugs as monotherapy or in combination with methotrexate.","JAK1
JAK2",Tyr,"Smiles=CCS(=O)(=O)N1CC(C1)(CC#N)n2cc(cn2)c3c4cc[nH]c4ncn3
InChiKey=XUZMWHLSFXCVMG-UHFFFAOYSA-N",2017,nan,Achiral Molecule,"Baricitinib
LY-3009104
INCB-28050
INCB-028050",Y,
Bemcentinib,nan,2,BerGenBio,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,506.3,4.9,97.8,8,2,4,nan,AXL,Tyr,"Smiles=c1ccc-2c(c1)CCCc3c2nnc(c3)n4c(nc(n4)Nc5ccc6c(c5)CC[C@H](CC6)N7CCCC7)N
InChiKey=KXMZDGSRSGHMMK-VWLOTQADSA-N",nan,nan,nan,"BGB324; KEYTRUDA

BEMCENTINIB",,
Bentamapimod,nan,2,PregLem,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology",NaN,NaN,nan,0,457.2,4.2,84.2,8,0,7,nan,"MAPK8
MAPK9",CMGC,"Smiles=N#CC(c1nc2ccccc2s1)c5nc(OCc3ccc(cc3)CN4CCOCC4)ncc5
InChiKey=XCPPIJCBCWUBNT-UHFFFAOYSA-N",nan,nan,Racemic Mixture,"PGL-5001
Bentamapimod
AS-602801",,
Berzosertib,nan,2,Vertex Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,463.2,3.9,124,8,2,7,nan,nan,,"Smiles=CC(C)S(=O)(=O)c1ccc(cc1)c2cnc(c(n2)c3cc(no3)c4ccc(cc4)CNC)N
InChiKey=JZCWLJDSIRUGIN-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"VX-970
Berzosertib",,
Bimiralisib,nan,2,Piqur Therapeutics,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS",'A3W',5oq4,nan,0,411.2,1,103.2,8,2,3,"Bimiralisib (PQR309) is a novel dual inhibitor of phosphoinositol 3-kinase (PI3K) and mechanistic target of rapamycin (mTOR) kinases, with expected utility as an anti-cancer agent.",nan,,"Smiles=c1c(c(c[nH]c1=N)c2nc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F
InChiKey=ADGGYDAFIHSYFI-UHFFFAOYSA-N",nan,nan,nan,"PQR309
BIMIRALISIB",,
Binimetinib,Mektovi,4,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,440,3,88.4,6,3,6,"On June 27, 2018, the Food and Drug Administration approved encorafenib and binimetinib in combination patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test.",MAP2K1,STE,"Smiles=Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3F)Br)C(=O)NOCCO
InChiKey=ACWZRVQXLIRSDF-UHFFFAOYSA-N",2018,nan,Achiral Molecule,"ARRY-162
NVP-MEK162
Binimetinib
MEK-162
ARRY-438162",Y,
Bosutinib,Bosulif,4,Wyeth,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'DB8',3soa 3ue4 4mxo 4mxx 4mxy 4mxz 4qmn 5ajq 5i9x 5vc3 5vcy 6fdy 6op9,1,2,529.2,5.2,82.9,8,1,9,"Treatment of chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) with resistance or intolerance to prior therapy in adult patients.","BCR
ABL1
LYN
HCK
SRC
CDK2
MAP2K1
MAP2K2
MAP3K2
CAMK2G","Atypical
Tyr
STE
CAMK
CMGC","Smiles=CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC
InChiKey=UBPYILGKFZZVDX-UHFFFAOYSA-N",2012,US-6002008-A,Achiral Molecule,"Bosulif
Bosutinib Monohydrate
Bosutinib
SKI-606",Y,
Brigatinib,Alunbrig,4,Ariad Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
ZINC
FDA SRS
BindingDB",'6GY',6mx8,1,2,583.3,5.1,85.9,9,2,8,"The anaplastic lymphoma kinase positive, metastatic non-small cell lung cancer (ALK+ NSCLC), represents only 3-5% of the NSCLC cancer cases, but the ALK mutation, overexpression and presence in several oncogenic fusion proteins in solid and hematologic tumors have pointed out the importance as well as its potential as a cancer therapy target. The ALK-related cases of NSCLC are associated with the presence of the fusion gene EML4-ALK which fused the ALK protein with the echinoderm microtubule-associated protein like-4 whose original function is the correct formation of microtubules. The presence of the aberrant fusion protein results in abnormal signaling that provokes increased cell growth, proliferation and survival. Crizotinib is indicated for the treatment of such cases but the presence of ALK kinase domain mutations confer resistance to the treatment. Thus, brigatinib is indicated for the treatment of patients with ALK+ NSCLC with intolerance to Crizotinib.","ALK
EGFR",Tyr,"Smiles=CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl
InChiKey=AILRADAXUVEEIR-UHFFFAOYSA-N",2017,US-9012462-B2,Achiral Molecule,"Alunbrig
AP-26113
Brigatinib",Y,
Brivanib,nan,3,Bristol Myers Squibb,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,370.1,3.5,84.7,6,2,5,nan,KDR,Tyr,"Smiles=Cc1cc2c([nH]1)ccc(c2F)Oc3c4c(c(cn4ncn3)OC[C@@H](C)O)C
InChiKey=WCWUXEGQKLTGDX-LLVKDONJSA-N",nan,nan,Single Stereoisomer,"Brivanib
BMS-540215",,
Buparlisib,nan,3,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'SD5',3sd5 5m7e,1,0,410.2,1.8,89.6,8,1,3,nan,PIK3CA,Atypical,"Smiles=c1c(c(cnc1N)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F
InChiKey=CWHUFRVAEUJCEF-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"NVP-BKM120
BKM-120
Buparlisib
BKM120-NX",,
Cabozantinib,Cabometyx;Cometriq,4,Exelixis,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,2,2,501.2,5.5,98.8,6,2,8,For the treatment of metastatic medullary thyroid cancer and for the treatment of patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.,"MET
KDR
RET",Tyr,"Smiles=COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3)NC(=O)C4(CC4)C(=O)Nc5ccc(cc5)F
InChiKey=ONIQOQHATWINJY-UHFFFAOYSA-N",2012,US-7579473-B2,Achiral Molecule,"Cabometyx;Cometriq
XL-184
Cabozantinib
BMS-907351",Y,
Canertinib,nan,3,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,485.2,4.4,88.6,7,2,9,Investigated for use/treatment in breast cancer and lung cancer.,EGFR,Tyr,"Smiles=C=CC(=O)Nc1cc2c(cc1OCCCN3CCOCC3)ncnc2Nc4ccc(c(c4)Cl)F
InChiKey=OMZCMEYTWSXEPZ-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"CI-1033
Canertinib",,
Capivasertib,nan,2,Astrazeneca,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'0XZ',4gv1,nan,0,428.2,2.1,120.2,6,4,6,nan,AKT1,AGC,"Smiles=c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl
InChiKey=JDUBGYFRJFOXQC-KRWDZBQOSA-N",nan,nan,nan,AZD-5363,,
Capmatinib,nan,3,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,412.1,3.4,85.1,6,1,4,nan,MET,Tyr,"Smiles=CNC(=O)c1ccc(cc1F)c2cnc3ncc(n3n2)Cc4ccc5c(c4)cccn5
InChiKey=LIOLIMKSCNQPLV-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"INC280
Capmatinib
INCB-28060
NVP-INC280
NYP-INC280-NX
INC-280",,
Cediranib,Recentin,3,Astrazeneca,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,450.2,5.2,72.5,6,1,8,"For the treatment of liver cancer, advanced non-small cell lung cancer (NSCLC), advanced colorectal cancer (CRC) and other solid tumors.",KDR,Tyr,"Smiles=Cc1cc2c([nH]1)ccc(c2F)Oc3c4cc(c(cc4ncn3)OCCCN5CCCC5)OC
InChiKey=XXJWYDDUDKYVKI-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Recentin
ZD-2171
AZD-2171
Cediranib",,
Cenisertib,nan,1,EMD Serono,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,451.2,2.5,99.4,7,3,6,nan,"AURKA
AURKB
AURKC",Other,"Smiles=Cc1cc(ccc1N2CCN(CC2)C)Nc3ncc(c(n3)N[C@@H]4[C@@H]5C[C@H]([C@@H]4C(=O)N)C=C5)F
InChiKey=KSOVGRCOLZZTPF-QMKUDKLTSA-N",nan,nan,Racemic Mixture,"R-763
AS-703569",,
Ceralasertib,nan,2,Astrazeneca,"ChemSpider
PubChem",NaN,NaN,nan,0,412.2,2.9,107.8,7,2,4,"Ceralasertib, also known as AZD6738, is an orally available morpholino-pyrimidine-based inhibitor of ataxia telangiectasia and rad3 related (ATR) kinase, with potential antineoplastic activity. Upon oral administration, ATR kinase inhibitor Ceralasertib selectively inhibits ATR activity by blocking the downstream phosphorylation of the serine/threonine protein kinase CHK1. This prevents ATR-mediated signaling, and results in the inhibition of DNA damage checkpoint activation, disruption of DNA damage repair, and the induction of tumor cell apoptosis.",nan,,"Smiles=CC1COCCN1c2cc(nc(n2)c3cncc4c3cc[nH]4)C5(CC5)S(=N)(=O)C
InChiKey=DTTJKLNXNZAVSM-UHFFFAOYSA-N",nan,nan,nan,AZD6738,,
