,INN_Name,ChEMBL_ID,Smiles,InCHI key,RoF,MW,LogP,TPSA,HBA,HBD,NRB,image_link,Targets
18,Omipalisib,CHEMBL1236962,Smiles=COc1c(cc(cn1)c2ccc3c(c2)c(ccn3)c4ccnnc4)NS(=O)(=O)c5ccc(cc5F)F,InChiKey=CGBJSGAELGCMKE-UHFFFAOYSA-N,1,505.1,4.8,107.0,7,1,6,http://www.icoa.fr/pkidb/static/img/mol/Omipalisib.svg,"PIK3CA,MTOR"
19,Vactosertib,CHEMBL3260567,Smiles=Cc1cccc(n1)c2c(nc([nH]2)CNc3ccccc3F)c4ccc5ncnn5c4,InChiKey=FJCDSQATIJKQKA-UHFFFAOYSA-N,0,399.2,4.2,83.8,6,2,5,http://www.icoa.fr/pkidb/static/img/mol/Vactosertib.svg,
20,Ningetinib,CHEMBL3984441,Smiles=Cc1c(c(=O)n(n1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OCC(C)(C)O,InChiKey=VQYYQSZNRVQLIS-UHFFFAOYSA-N,2,556.2,5.4,107.6,8,2,8,http://www.icoa.fr/pkidb/static/img/mol/Ningetinib.svg,
21,Voruciclib,CHEMBL3905910,Smiles=CN1CC[C@H]([C@@H]1CO)c2c(cc(c3c2oc(cc3=O)c4ccc(cc4Cl)C(F)(F)F)O)O,InChiKey=MRPGRAKIAJJGMM-OCCSQVGLSA-N,0,469.1,4.3,94.1,6,3,3,http://www.icoa.fr/pkidb/static/img/mol/Voruciclib.svg,CDK4
22,Tomivosertib,CHEMBL4073443,Smiles=Cc1cc(c(=O)n2c1C(=O)NC23CCCCC3)Nc4cc(ncn4)N,InChiKey=HKTBYUWLRDZAJK-UHFFFAOYSA-N,0,340.2,1.6,114.9,7,3,2,http://www.icoa.fr/pkidb/static/img/mol/Tomivosertib.svg,
23,Ulixertinib,CHEMBL3590106,Smiles=CC(C)Nc1cc(c(cn1)Cl)c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl,InChiKey=KSERXGMCDHOLSS-LJQANCHMSA-N,0,432.1,4.7,90.0,4,4,7,http://www.icoa.fr/pkidb/static/img/mol/Ulixertinib.svg,"MAPK1,MAPK3"
24,Uprosertib,CHEMBL3137336,Smiles=Cn1c(c(cn1)Cl)c2cc(oc2Cl)C(=O)N[C@@H](Cc3ccc(c(c3)F)F)CN,InChiKey=AXTAPYRUEKNRBA-JTQLQIEISA-N,0,428.1,3.6,86.1,5,2,6,http://www.icoa.fr/pkidb/static/img/mol/Uprosertib.svg,"AKT1,AKT2,AKT3"
25,Vistusertib,CHEMBL2336325,Smiles=C[C@H]1COCCN1c2c3ccc(nc3nc(n2)N4CCOC[C@@H]4C)c5cccc(c5)C(=O)NC,InChiKey=JUSFANSTBFGBAF-IRXDYDNUSA-N,0,462.2,2.5,92.7,8,1,4,http://www.icoa.fr/pkidb/static/img/mol/Vistusertib.svg,MTOR
26,Selonsertib,CHEMBL3916717,Smiles=Cc1cc(c(cc1n2cc(nc2)C3CC3)C(=O)Nc4cccc(n4)c5nncn5C(C)C)F,InChiKey=YIDDLAAKOYYGJG-UHFFFAOYSA-N,0,445.2,4.7,90.5,7,1,6,http://www.icoa.fr/pkidb/static/img/mol/Selonsertib.svg,MAP3K5
27,Pamapimod,CHEMBL1090089,Smiles=Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC(CCO)CCO,InChiKey=JYYLVUFNAHSSFE-UHFFFAOYSA-N,0,406.1,1.9,109.5,8,3,8,http://www.icoa.fr/pkidb/static/img/mol/Pamapimod.svg,"MAPK14,MAPK11"
28,Berzosertib,CHEMBL3989870,Smiles=CC(C)S(=O)(=O)c1ccc(cc1)c2cnc(c(n2)c3cc(no3)c4ccc(cc4)CNC)N,InChiKey=JZCWLJDSIRUGIN-UHFFFAOYSA-N,0,463.2,3.9,124.0,8,2,7,http://www.icoa.fr/pkidb/static/img/mol/Berzosertib.svg,
29,Dilmapimod,CHEMBL2103838,Smiles=Cc1cc(ccc1c2c3ccc(=O)n(c3nc(n2)NC(CO)CO)c4c(cccc4F)F)F,InChiKey=ORVNHOYNEHYKJG-UHFFFAOYSA-N,0,456.1,2.9,100.3,7,3,6,http://www.icoa.fr/pkidb/static/img/mol/Dilmapimod.svg,"MAPK14,MAPK11,MAPK13,MAPK12"
30,Spebrutinib,CHEMBL3301625,Smiles=COCCOc1ccc(cc1)Nc2ncc(c(n2)Nc3cccc(c3)NC(=O)C=C)F,InChiKey=KXBDTLQSDKGAEB-UHFFFAOYSA-N,0,423.2,4.3,97.4,7,3,10,http://www.icoa.fr/pkidb/static/img/mol/Spebrutinib.svg,BTK
31,Riviciclib,CHEMBL3969723,Smiles=CN1CC[C@H]([C@@H]1CO)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O,InChiKey=QLUYMIVVAYRECT-OCCSQVGLSA-N,0,401.1,3.3,94.1,6,3,3,http://www.icoa.fr/pkidb/static/img/mol/Riviciclib.svg,"CDK1,CDK4,CDK9"
32,Neflamapimod,CHEMBL119385,Smiles=c1cc(c(c(c1)Cl)c2c3ccc(nn3cnc2=O)Sc4ccc(cc4F)F)Cl,InChiKey=VEPKQEUBKLEPRA-UHFFFAOYSA-N,1,435.0,5.5,47.3,5,0,3,http://www.icoa.fr/pkidb/static/img/mol/Neflamapimod.svg,MAPK14
33,Gandotinib,CHEMBL2107823,Smiles=Cc1cc(n[nH]1)Nc2cc(c3nc(c(n3n2)Cc4ccc(cc4F)Cl)C)CN5CCOCC5,InChiKey=SQSZANZGUXWJEA-UHFFFAOYSA-N,0,469.2,4.0,83.4,7,2,6,http://www.icoa.fr/pkidb/static/img/mol/Gandotinib.svg,JAK2
34,Apitolisib,CHEMBL1922094,Smiles=Cc1c(sc2c1nc(nc2N3CCOCC3)c4cnc(nc4)N)CN5CCN(CC5)C(=O)[C@H](C)O,InChiKey=YOVVNQKCSKSHKT-HNNXBMFYSA-N,1,498.2,0.9,133.8,11,2,5,http://www.icoa.fr/pkidb/static/img/mol/Apitolisib.svg,"PIK3CA,MTOR"
35,Rabusertib,CHEMBL3039517,Smiles=Cc1cc(c(cc1Br)NC(=O)Nc2cnc(cn2)C)OC[C@@H]3CNCCO3,InChiKey=SYYBDNPGDKKJDU-ZDUSSCGKSA-N,0,435.1,2.9,97.4,6,3,5,http://www.icoa.fr/pkidb/static/img/mol/Rabusertib.svg,CHEK1
36,Dactolisib,CHEMBL1879463,Smiles=CC(C)(C#N)c1ccc(cc1)n2c3c4cc(ccc4ncc3n(c2=O)C)c5cc6ccccc6nc5,InChiKey=JOGKUKXHTYWRGZ-UHFFFAOYSA-N,1,469.2,5.9,76.5,6,0,3,http://www.icoa.fr/pkidb/static/img/mol/Dactolisib.svg,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,MTOR"
37,Pictilisib,CHEMBL521851,Smiles=CS(=O)(=O)N1CCN(CC1)Cc2cc3c(s2)c(nc(n3)c4cccc5c4cn[nH]5)N6CCOCC6,InChiKey=LHNIIDJUOCFXAP-UHFFFAOYSA-N,1,513.2,2.1,107.6,9,1,5,http://www.icoa.fr/pkidb/static/img/mol/Pictilisib.svg,"PIK3CA,PIK3CB,PIK3CD,PIK3CG"
38,Bimiralisib,CHEMBL4084907,Smiles=c1c(c(c[nH]c1=N)c2nc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,InChiKey=ADGGYDAFIHSYFI-UHFFFAOYSA-N,0,411.2,1.0,103.2,8,2,3,http://www.icoa.fr/pkidb/static/img/mol/Bimiralisib.svg,
39,Foretinib,CHEMBL1230609,Smiles=COc1cc2c(ccnc2cc1OCCCN3CCOCC3)Oc4ccc(cc4F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,InChiKey=CXQHYVUVSFXTMY-UHFFFAOYSA-N,2,632.2,5.8,111.2,8,2,12,http://www.icoa.fr/pkidb/static/img/mol/Foretinib.svg,"MET,KDR"
40,Afuresertib,CHEMBL2219422,Smiles=Cn1c(c(cn1)Cl)c2cc(sc2Cl)C(=O)N[C@@H](Cc3cccc(c3)F)CN,InChiKey=AFJRDFWMXUECEW-LBPRGKRZSA-N,0,426.0,3.9,72.9,5,2,6,http://www.icoa.fr/pkidb/static/img/mol/Afuresertib.svg,"AKT1,AKT2,AKT3"
41,Lucitanib,CHEMBL2220486,Smiles=CNC(=O)c1cccc2c1ccc(c2)Oc3ccnc4c3cc(c(c4)OCC5(CC5)N)OC,InChiKey=CUDVHEFYRIWYQD-UHFFFAOYSA-N,0,443.2,4.4,95.7,6,2,7,http://www.icoa.fr/pkidb/static/img/mol/Lucitanib.svg,"FLT1,KDR,FLT4,FGFR1,FGFR2"
42,Adavosertib,CHEMBL1976040,Smiles=CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCN(CC5)C)c(=O)n2CC=C)O,InChiKey=BKWJAKQVGHWELA-UHFFFAOYSA-N,1,500.3,2.9,104.3,10,2,7,http://www.icoa.fr/pkidb/static/img/mol/Adavosertib.svg,WEE1
43,Defactinib,CHEMBL3137331,Smiles=CNC(=O)c1ccc(cc1)Nc2ncc(c(n2)NCc3c(nccn3)N(C)S(=O)(=O)C)C(F)(F)F,InChiKey=FWLMVFUGMHIOAA-UHFFFAOYSA-N,1,510.1,2.4,142.1,9,3,8,http://www.icoa.fr/pkidb/static/img/mol/Defactinib.svg,"PTK2,PTK2B"
44,Bafetinib,CHEMBL206834,Smiles=Cc1ccc(cc1Nc2nccc(n2)c3cncnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CC[C@@H](C5)N(C)C,InChiKey=ZGBAJMQHJDFTQJ-DEOSSOPVSA-N,2,576.3,5.4,99.2,8,2,8,http://www.icoa.fr/pkidb/static/img/mol/Bafetinib.svg,"LYN,ABL1"
45,Merestinib,CHEMBL3545307,Smiles=Cc1ccc(c(=O)n1c2ccc(cc2)F)C(=O)Nc3ccc(c(c3)F)Oc4cc5cnn(c5cc4c6c[nH]nc6)C,InChiKey=QHADVLVFMKEIIP-UHFFFAOYSA-N,2,552.2,5.7,106.8,7,2,6,http://www.icoa.fr/pkidb/static/img/mol/Merestinib.svg,MET
46,Entospletinib,CHEMBL3265032,Smiles=c1cc(ccc1Nc2c3nccn3cc(n2)c4ccc5cn[nH]c5c4)N6CCOCC6,InChiKey=XSMSNFMDVXXHGJ-UHFFFAOYSA-N,0,411.2,3.9,83.4,7,2,4,http://www.icoa.fr/pkidb/static/img/mol/Entospletinib.svg,SYK
47,Galunisertib,CHEMBL2364611,Smiles=Cc1cccc(n1)c2c(c3n(n2)CCC3)c4ccnc5c4cc(cc5)C(=O)N,InChiKey=IVRXNBXKWIJUQB-UHFFFAOYSA-N,0,369.2,3.5,86.7,5,1,3,http://www.icoa.fr/pkidb/static/img/mol/Galunisertib.svg,TGFBR1
48,Ilorasertib,CHEMBL1980297,Smiles=c1cc(cc(c1)F)NC(=O)Nc2ccc(cc2)c3csc4c3c(ncc4c5cnn(c5)CCO)N,InChiKey=WPHKIQPVPYJNAX-UHFFFAOYSA-N,1,488.1,5.2,118.1,7,4,6,http://www.icoa.fr/pkidb/static/img/mol/Ilorasertib.svg,"AURKA,AURKB,AURKC,FLT1,PDGFRA,PDGFRB"
49,Amcasertib,CHEMBL3707349,Smiles=CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)c4csc(n4)c5ccccc5)C,InChiKey=QDWKGEFGLQMDAM-ULJHMMPZSA-N,2,539.2,6.0,90.1,5,3,9,http://www.icoa.fr/pkidb/static/img/mol/Amcasertib.svg,PDGFRA
50,Amuvatinib,CHEMBL2103851,Smiles=c1ccc2c(c1)c3c(o2)c(ncn3)N4CCN(CC4)C(=S)NCc5ccc6c(c5)OCO6,InChiKey=FOFDIMHVKGYHRU-UHFFFAOYSA-N,0,447.1,3.3,75.9,7,1,3,http://www.icoa.fr/pkidb/static/img/mol/Amuvatinib.svg,"KIT,MET,RET,FLT3,PDGFRB"
51,Evobrutinib,CHEMBL4072833,Smiles=C=CC(=O)N1CCC(CC1)CNc2c(c(ncn2)N)c3ccc(cc3)Oc4ccccc4,InChiKey=QUIWHXQETADMGN-UHFFFAOYSA-N,0,429.2,4.4,93.4,6,2,7,http://www.icoa.fr/pkidb/static/img/mol/Evobrutinib.svg,BTK
52,Glesatinib,CHEMBL3989914,Smiles=COCCNCc1ccc(nc1)c2cc3c(s2)c(ccn3)Oc4ccc(cc4F)NC(=S)NC(=O)Cc5ccc(cc5)F,InChiKey=YRCHYHRCBXNYNU-UHFFFAOYSA-N,2,619.2,6.2,97.4,8,3,11,http://www.icoa.fr/pkidb/static/img/mol/Glesatinib.svg,"MET,TEK,FLT1,KDR,FLT4,MST1R"
53,Bemcentinib,CHEMBL3809489,Smiles=c1ccc-2c(c1)CCCc3c2nnc(c3)n4c(nc(n4)Nc5ccc6c(c5)CC[C@H](CC6)N7CCCC7)N,InChiKey=KXMZDGSRSGHMMK-VWLOTQADSA-N,1,506.3,4.9,97.8,8,2,4,http://www.icoa.fr/pkidb/static/img/mol/Bemcentinib.svg,AXL
54,Gedatolisib,CHEMBL592445,Smiles=CN(C)C1CCN(CC1)C(=O)c2ccc(cc2)NC(=O)Nc3ccc(cc3)c4nc(nc(n4)N5CCOCC5)N6CCOCC6,InChiKey=DWZAEMINVBZMHQ-UHFFFAOYSA-N,1,615.3,3.0,128.3,10,2,7,http://www.icoa.fr/pkidb/static/img/mol/Gedatolisib.svg,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,MTOR"
55,Capivasertib,CHEMBL2325741,Smiles=c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl,InChiKey=JDUBGYFRJFOXQC-KRWDZBQOSA-N,0,428.2,2.1,120.2,6,4,6,http://www.icoa.fr/pkidb/static/img/mol/Capivasertib.svg,AKT1
56,Telatinib,CHEMBL2079588,Smiles=CNC(=O)c1cc(ccn1)COc2c3c(cco3)c(nn2)Nc4ccc(cc4)Cl,InChiKey=QFCXANHHBCGMAS-UHFFFAOYSA-N,0,409.1,4.0,102.2,7,2,6,http://www.icoa.fr/pkidb/static/img/mol/Telatinib.svg,"KDR,FLT4"
57,Pilaralisib,CHEMBL3360203,Smiles=CC(C)(C(=O)Nc1cccc(c1)S(=O)(=O)Nc2c(nc3ccccc3n2)Nc4cc(ccc4Cl)OC)N,InChiKey=QINPEPAQOBZPOF-UHFFFAOYSA-N,1,540.1,4.5,148.3,8,4,8,http://www.icoa.fr/pkidb/static/img/mol/Pilaralisib.svg,"PIK3CA,PIK3CB,PIK3CD,PIK3CG"
58,Bentamapimod,CHEMBL3545213,Smiles=N#CC(c1nc2ccccc2s1)c5nc(OCc3ccc(cc3)CN4CCOCC4)ncc5,InChiKey=XCPPIJCBCWUBNT-UHFFFAOYSA-N,0,457.2,4.2,84.2,8,0,7,http://www.icoa.fr/pkidb/static/img/mol/Bentamapimod.svg,"MAPK8,MAPK9"
59,Ralimetinib,CHEMBL2364626,Smiles=CC(C)(C)Cn1c2c(ccc(n2)c3c(nc([nH]3)C(C)(C)C)c4ccc(cc4)F)nc1N,InChiKey=XPPBBJCBDOEXDN-UHFFFAOYSA-N,1,420.2,5.6,85.4,5,2,3,http://www.icoa.fr/pkidb/static/img/mol/Ralimetinib.svg,"MAPK14,MAPK11"
60,Rebastinib,CHEMBL1738757,Smiles=CC(C)(C)c1cc(n(n1)c2ccc3c(c2)cccn3)NC(=O)Nc4ccc(cc4F)Oc5ccnc(c5)C(=O)NC,InChiKey=WVXNSAVVKYZVOE-UHFFFAOYSA-N,2,553.2,6.0,123.1,7,3,6,http://www.icoa.fr/pkidb/static/img/mol/Rebastinib.svg,"FLT3,TEK,KDR,LYN,BCR,ABL1,NTRK1"
61,Refametinib,CHEMBL1236682,Smiles=COc1cc(c(c(c1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)Nc3ccc(cc3F)I)F)F,InChiKey=RDSACQWTXKSHJT-NSHDSACASA-N,1,572.0,3.5,107.9,6,4,9,http://www.icoa.fr/pkidb/static/img/mol/Refametinib.svg,MAP2K1
62,Tepotinib,CHEMBL3402762,Smiles=CN1CCC(CC1)COc2cnc(nc2)c3cccc(c3)Cn4c(=O)ccc(n4)c5cccc(c5)C#N,InChiKey=AHYMHWXQRWRBKT-UHFFFAOYSA-N,0,492.2,4.0,96.9,8,0,7,http://www.icoa.fr/pkidb/static/img/mol/Tepotinib.svg,MET
63,Ripasudil,CHEMBL3426621,Smiles=C[C@H]1CNCCCN1S(=O)(=O)c2cccc3c2c(cnc3)F,InChiKey=QSKQVZWVLOIIEV-NSHDSACASA-N,0,323.1,1.7,62.3,4,1,2,http://www.icoa.fr/pkidb/static/img/mol/Ripasudil.svg,
64,Rogaratinib,CHEMBL3963485,Smiles=Cc1cc2cc(sc2c(c1)OC)c3c(c(n4c3c(ncn4)N)CN5CCNC(=O)C5)COC,InChiKey=HNLRRJSKGXOYNO-UHFFFAOYSA-N,0,466.2,2.6,107.0,9,2,6,http://www.icoa.fr/pkidb/static/img/mol/Rogaratinib.svg,
65,Seliciclib,CHEMBL14762,Smiles=CC[C@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,InChiKey=BTIHMVBBUGXLCJ-OAHLLOKOSA-N,0,354.2,3.2,87.9,7,3,8,http://www.icoa.fr/pkidb/static/img/mol/Seliciclib.svg,"CDK2,CDK7,CDK9"
66,Tandutinib,CHEMBL124660,Smiles=CC(C)Oc1ccc(cc1)NC(=O)N2CCN(CC2)c3c4cc(c(cc4ncn3)OCCCN5CCCCC5)OC,InChiKey=UXXQOJXBIDBUAC-UHFFFAOYSA-N,2,562.3,5.0,92.3,8,1,10,http://www.icoa.fr/pkidb/static/img/mol/Tandutinib.svg,"FLT3,PDGFD"
67,Sotrastaurin,CHEMBL565612,Smiles=CN1CCN(CC1)c2nc3ccccc3c(n2)C4=C(C(=O)NC4=O)c5c[nH]c6c5cccc6,InChiKey=OAVGBZOFDPFGPJ-UHFFFAOYSA-N,0,438.2,2.4,94.2,6,2,3,http://www.icoa.fr/pkidb/static/img/mol/Sotrastaurin.svg,
68,Sapanisertib,CHEMBL3545097,Smiles=CC(C)n1c2c(c(n1)c3ccc4c(c3)nc(o4)N)c(ncn2)N,InChiKey=GYLDXIAOMVERTK-UHFFFAOYSA-N,0,309.1,2.4,121.7,8,2,2,http://www.icoa.fr/pkidb/static/img/mol/Sapanisertib.svg,MTOR
69,Milciclib,CHEMBL564829,Smiles=CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4ccc(cc4)N5CCN(CC5)C)C,InChiKey=RXZMYLDMFYNEIM-UHFFFAOYSA-N,0,460.3,2.6,91.2,8,2,4,http://www.icoa.fr/pkidb/static/img/mol/Milciclib.svg,"CDK1,NTRK1"
70,Infigratinib,CHEMBL1852688,Smiles=CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl,InChiKey=QADPYRIHXKWUSV-UHFFFAOYSA-N,2,559.2,5.4,95.1,8,2,8,http://www.icoa.fr/pkidb/static/img/mol/Infigratinib.svg,"FGFR1,FGFR2,FGFR3"
71,Trilaciclib,CHEMBL3894860,Smiles=CN1CCN(CC1)c2ccc(nc2)Nc3ncc4cc5n(c4n3)C6(CCCCC6)CNC5=O,InChiKey=PDGKHKMBHVFCMG-UHFFFAOYSA-N,0,446.3,2.7,91.2,8,2,3,http://www.icoa.fr/pkidb/static/img/mol/Trilaciclib.svg,"CDK4,CDK6"
72,Prexasertib,CHEMBL3544911,Smiles=COc1cccc(c1c2cc(n[nH]2)Nc3cnc(cn3)C#N)OCCCN,InChiKey=DOTGPNHGTYJDEP-UHFFFAOYSA-N,0,365.2,2.2,134.8,8,3,8,http://www.icoa.fr/pkidb/static/img/mol/Prexasertib.svg,"CHEK1,CHEK2"
73,Poziotinib,CHEMBL3545154,Smiles=COc1cc2c(cc1OC3CCN(CC3)C(=O)C=C)c(ncn2)Nc4ccc(c(c4F)Cl)Cl,InChiKey=LPFWVDIFUFFKJU-UHFFFAOYSA-N,1,490.1,5.4,76.6,6,1,6,http://www.icoa.fr/pkidb/static/img/mol/Poziotinib.svg,EGFR
74,Golvatinib,CHEMBL3039525,Smiles=CN1CCN(CC1)C2CCN(CC2)C(=O)Nc3cc(ccn3)Oc4ccc(c(c4)F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,InChiKey=UQRCJCNVNUFYDX-UHFFFAOYSA-N,1,633.3,4.8,119.1,7,3,8,http://www.icoa.fr/pkidb/static/img/mol/Golvatinib.svg,"MET,KDR"
75,Pimasertib,CHEMBL2107832,Smiles=c1cc(c(cc1I)F)Nc2cnccc2C(=O)NC[C@@H](CO)O,InChiKey=VIUAUNHCRHHYNE-JTQLQIEISA-N,0,431.0,1.7,94.5,5,4,6,http://www.icoa.fr/pkidb/static/img/mol/Pimasertib.svg,"MAP2K1,MAP2K2"
